id,title,year,language,authors
uva.x001016358,The children of Sisyphus /,1964,eng,"Patterson, Orlando, 1940-"
mdp.39015016452230,"Trumbull park, a novel.",1959,eng,"Brown, Frank London."
mdp.39015069290172,A lova' like no otha' /,2003,eng,"Moore, Stephanie Perry."
mdp.39015000544745,Portrait of a young man drowning.,1962,eng,"Perry, Charles, 1924-1969."
uc1.32106005680761,"Clotel; or, The president's daughter : a narrative of slave life in the United States /",1984,eng,"Brown, William Wells, 1815-1884."
uc1.$b146928,The workers.,1969,eng,"Lee, Audrey."
mdp.39015034241144,Autobiography of a family photo : a novel /,1995,eng,"Woodson, Jacqueline"
uc1.b4450881,Furlough from hell : a fantasy /,1963,eng,"Flemister, John T., 1914-"
mdp.39015056248886,More like wrestling : a novel /,2003,eng,"Smith, Danyel."
mdp.39015033089221,Her own place : a novel /,1993,eng,"Sanders, Dori, 1934-"
uc1.32106009647071,Fever : twelve stories /,1990,eng,"Wideman, John Edgar."
mdp.39015058224968,Drama queen /,2003,eng,"Hunt, La Jill."
mdp.39015013302651,Moustapha's eclipse /,1988,eng,"McKnight, Reginald, 1956-"
mdp.39015032596093,Sisters & lovers /,1994,eng,"Briscoe, Connie."
mdp.39015057640008,Daughter : a novel /,2003,eng,"Bandele, Asha."
uva.x000197786,Let noon be fair: unabridged.,1969,eng,"Motley, Willard, 1909-1965."
mdp.39015067663883,A short walk /,2006,eng,"Childress, Alice."
mdp.39015055105665,Brown glass windows : a novel /,2002,eng,"Major, Devorah, 1952-"
mdp.39076005555888,Blood in my eye,1972,eng,"Jackson, George, 1941-1971."
mdp.39015038022524,The cattle killing /,1996,eng,"Wideman, John Edgar."
mdp.49015001411652,The flagellants /,1987,eng,"Polite, Carlene Hatcher."
mdp.39015022272796,The music of summer /,1992,eng,"Guy, Rosa."
mdp.39015003464479,Click song /,1982,eng,"Williams, John Alfred, 1925-"
mdp.39015021979961,Death on the rocks /,1960,eng,"West, John B."
uc1.32106017261436,What answer? /,2003,eng,"Dickinson, Anna E. (Anna Elizabeth), 1842-1932"
mdp.39015053394667,"Sons of darkness, sons of light : a novel of some probability",1969,eng,"Williams, John A., 1925-2015."
uc1.b4096978,My lives and how I lost them /,1942,eng,"Cullen, Countee, 1903-1946."
pst.000021423949,Blood on the forge /,1993,eng,"Attaway, William."
mdp.39015008002084,A short walk /,1979,eng,"Childress, Alice."
mdp.39076002771629,Song of Solomon /,1995,eng,"Morrison, Toni."
mdp.39015035342958,Mama Day /,1988,eng,"Naylor, Gloria."
mdp.39015014891447,The devil's laughter.,1953,eng,"Yerby, Frank, 1916-1991."
emu.10002331914,The conquest : the story of a negro pioneer /,1913,eng,"Micheaux, Oscar, 1884-1951."
uva.x004113892,"The same river twice : honoring the difficult : a meditation of life, spirit, art, and the making of the film, The color purple, ten years later /",1996,eng,"Walker, Alice, 1944-"
mdp.39015031803987,"Breath, eyes, memory /",1994,eng,"Danticat, Edwidge, 1969-"
mdp.39015038124544,"Nellie Brown, or, The jealous wife : with other sketches /",1996,eng,"Detter, Thomas, approximately 1826-"
uiug.30112002551247,The policy king /,1945,eng,"Caldwell, Lewis A."
miun.aat2524.0001.001,"Passing, /",1929,eng,"Larsen, Nella."
mdp.49015001318451,Collected stories of Charles W. Chesnutt /,1992,eng,"Chesnutt, Charles W. (Charles Waddell), 1858-1932; Andrews, William L., 1946-"
mdp.39015046881325,Winter nights /,1998,eng,"Ray, Francis."
uc1.$b63731,Alien land.,1949,eng,"Savoy, Willard W., 1916-1976."
mdp.39015035775587,Nuaulu settlement and ecology : an approach to the environmental relations of an eastern Indonesian community /,1978,eng,"Ellen, R. F., 1947-"
mdp.39015066054928,Waiting to exhale /,1992,eng,"McMillan, Terry."
njp.32101068170834,Bond and free; a true tale of slave times.,1886,eng,"Howard, Jas. H. W. (James H. W.); Meyers, E. K"
uc1.b4366167,Loving her /,1987,eng,"Shockley, Ann Allen."
mdp.39015029870816,The vulture.,1970,eng,"Scott-Heron, Gil, 1949-"
mdp.39015011208025,"Black no more; being an account of the strange and wonderful workings of science in the Land of the Free, A.D. 1933-1940,",1969,eng,"Schuyler, George S. (George Samuel), 1895-1977"
mdp.39015047534915,Sunday you learn how to box : a novel /,2000,eng,"Wright, Bil."
